Date,DZD,AUD,BHD,VEF,BWP,BRL,BND,CAD,CLP,CNY,COP,CZK,DKK,EUR,HUF,ISK,INR,IDR,IRR,ILS,JPY,KZT,KRW,KWD,LYD,MYR,MUR,MXN,NPR,NZD,NOK,OMR,PKR,PEN,PHP,PLN,QAR,RUB,SAR,SGD,ZAR,LKR,SEK,CHF,THB,TTD,TND,AED,GBP,USD,UYU,VES
2019-07-26,119.61972132922546,1.440092166,0.37600000000000094,1.9088242398647668e+16,10.64962726,3.7735,1.3682,1.3182,694.16,6.879,3213.09,22.932,6.7034,0.897827258,122734.02521564579,-1195.6744577187637,69.0611,885764228.9545898,42013.59920086991,3.526,108.65,19477.222954121185,1179.8,0.3039,1.9324000000000088,4.12,35.9626,19.0699,-97.03383237176604,1.502178158,8.7011,0.3845,-145.9124895899413,3.297,51.107,3.8296,3.64,63.1271,3.75,1.3682,14.19565,266.72501355574195,9.4663,0.9927,30.98,6.7624,2.990741642258772,3.6725,0.804602325,1,34.174,-137442824.14812255
2019-07-29,119.6708,1.447596989,0.376000000000001,1.959232011845177e+16,10.71811361,3.7903,1.3718,1.3159,696.62,6.8921,3233.26,23.033,6.7154,0.899361453,127862.17813187512,-1241.0647435068531,68.9023,924111664.2278442,42014.09426383162,3.525,108.45,20245.102507017436,1184.2,0.30405,1.9324000000000088,4.12,35.83215044179439,19.09,-103.30793390755844,1.507159005,8.718,0.3845,-156.3741067435276,3.4319610331981396,51.157,3.8453,3.64,63.521,3.75,1.3718,14.22365,268.4723512570704,9.5077,0.99185,31.54363645490822,6.795113119551699,2.9932497509788853,3.6725,0.811820101,1,34.205,-143369991.97307193
2019-07-30,119.6445,1.450326323,0.376000000000001,1.976229718926486e+16,10.68376068,3.7894,1.3692,1.3168,697.22,6.8831,3262.81,22.996,6.6941,0.896539358,129602.8328537601,-1256.4205488994412,68.75,937135858.8738098,42014.26189893484,3.5,108.78,20505.560394486063,1183.4,0.30405,1.9324000000000092,4.228175236753772,35.9375,19.0747,-105.42572909519004,1.509433962,8.7294,0.3845,-159.91557999786892,3.4322538398977507,51.016,3.8493,3.64,63.3791,3.75,1.3692,14.1454,269.05882942542075,9.5452,0.99015,30.828,6.795213912803441,2.9940859439158514,3.6725,0.821726447,1,34.326,-145382930.81701028
2019-07-31,119.576,1.450536699,0.37600000000000094,1.9933254539810896e+16,10.68376068,3.7643,1.3694,1.3148,699.98,6.8834,3296.85,23.014,6.6966,0.896780558,131359.24100400507,-1271.8898976794553,68.8569,950281856.4696655,42014.43084961083,3.499,108.56,20768.2836465016,1182.0,0.3048536377527517,1.9324000000000088,4.1275,35.8975,18.9929,-107.55680558014046,1.515840534,8.7685,0.3845,-163.4843535537002,3.308,51.013,3.8504,3.64,63.4172,3.75,1.3694,14.23645,269.647329552417,9.5637,0.98995,30.776,6.7398,2.994922214937977,3.6725,0.822030415,1,34.35,-147414622.68996465
2019-08-01,119.9345,1.459640928,0.37600000000000094,2.0105194988666116e+16,10.78748652,3.829,1.3762,1.3217,700.82,6.9003,3291.79,23.326,6.7645,0.906043309,133131.47351468075,-1287.4732028403814,69.058,963550223.9190369,42014.601120969746,3.524,109.24,21033.28207084199,1181.9,0.30445,1.9324000000000088,4.1445,35.9505,19.1627,-109.70120373809368,1.526018617,8.8901,0.3845,-167.08052733098066,3.316,50.865,3.886,3.64,63.834,3.75,1.3762,14.48275,270.23785513287385,9.671,0.9739343169893829,30.854,6.7398,2.9957585638872795,3.6725,0.826241428,1,34.595,-149465154.5386585
2019-08-02,119.7922,1.467997651,0.376000000000001,2.027812135440676e+16,10.84598698,3.8733,1.3763,1.3225,704.88,6.9363,3329.23,23.199,6.7225,0.900414191,134919.60131785925,-1303.17087737572,69.3981,976941528.1253662,42014.77271811897,3.509,107.11,21300.565475284937,1188.5,0.30445,1.9324000000000097,4.154,35.9967,19.3116,-111.85896394473093,1.527883881,8.9236,0.3845,-170.70420124966404,3.343,51.105,3.8829,3.64,64.6423,3.75,1.3763,14.6871,270.8304096616057,9.6666,0.98535,30.884,6.795514562723724,2.9965949906057765,3.6725,0.826036676,1,34.736,-151534613.30981505
2019-08-05,119.6764,1.404577051999332,0.376000000000001,2.080284413870372e+16,10.94091904,3.9398,1.3826,1.330876580684333,711.13,7.033,3365.78,23.052,6.6766,0.894294402,140380.06580313575,-1350.9542471630666,70.3584,1017858730.3214722,42015.29551540781,3.494,106.03,22116.223647000385,1194.8,0.3038,1.9324000000000092,4.1755,35.9966,19.5731,-118.41282061355287,1.537279016,8.9179,0.3845,-181.74122305366018,3.375,51.367,3.8739,3.64,65.0546,3.75,1.3826,14.9251,272.6202818856027,9.6439,0.97435,30.839,6.7327,2.9991047357966,3.6725,0.822097994,1,35.141,-157857420.62529314
2019-08-06,119.2177,1.474056604,0.376000000000001,2.0979742357748532e+16,10.90512541,3.9637,1.3818,1.3253,721.7,7.0354,3459.47,22.999,6.6724,0.893894699,142232.48409704864,-1367.1135291309147,70.7226,1031747450.5908813,42015.47246681433,3.494,105.6,22392.7450496261,1211.8,0.3036,1.932400000000009,4.1905,35.8845,19.6291,-120.62443277173861,1.525320317,8.8983,0.3845,-185.47589673748826,3.38,51.75,3.8482,3.64,65.203,3.75,1.3818,14.80785,273.2209871555856,9.5966,0.9746,30.766,6.7398,2.999941472012044,3.6725,0.820815891,1,35.148,-160003456.55353248
2019-08-07,119.3389,1.488981537,0.3760000000000011,2.115764058655999e+16,10.94091904,3.9844,1.3834,1.3322,716.35,7.0402,3431.28,22.96,6.6623,0.892697733,144101.1523438259,-1383.3892454406123,70.9553,1045761942.1349182,42015.65076955734,3.487,106.15,22671.60047124175,1214.3,0.3036,1.9324000000000097,4.196,35.7829,19.6953,-122.84960885701457,1.544163064,8.9234,0.3845,-189.2385701624862,3.379,52.003,3.8597,3.64,65.0932,3.75,1.3834,14.9395,273.82373884791696,9.5885,0.97905,30.775,6.7239,3.000778285206768,3.6725,0.823926835,1,35.295,-162168854.13785052
2019-08-08,119.3391,1.47601476,0.376000000000001,2.133654164371436e+16,10.95290252,3.9403,1.3815,1.3257,718.55,7.0452,3431.28,23.041,6.6676,0.893415528,145986.1414755406,-1399.7818090856672,70.8497,1059902771.8569946,42015.83042874653,3.483,106.11,22952.79971962399,1214.5,0.3036,1.9324000000000088,4.1825,35.7177,19.5118,-125.08838924506472,1.547029703,8.9502,0.3845,-193.02934324860598,3.379,52.186,3.8538,3.64,65.1299,3.75,1.3815,15.16305,274.42854045741433,9.6158,0.97595,30.755,6.7426,3.0016151752227875,3.6725,0.822909809,1,35.273,-164353700.32497072
